Date,W
2017-01-02,113884.37675623715
2017-01-03,115749.40376579322
2017-01-04,114738.96874419207
2017-01-05,113232.58148957895
2017-01-06,108208.27537324617
2017-01-07,90688.6024481864
2017-01-08,84337.79552448455
2017-01-09,111385.27314785792
2017-01-10,108509.2462157984
2017-01-11,105530.3696875161
2017-01-12,103430.9497561397
2017-01-13,102607.5881655868
2017-01-14,87073.94603033645
2017-01-15,87897.51612762244
2017-01-16,104280.61830258832
2017-01-17,114818.58890885705
2017-01-18,119121.91918519448
2017-01-19,116773.51585940858
2017-01-20,114201.35767975188
2017-01-21,93042.56942277924
2017-01-22,91529.23226184977
2017-01-23,122445.5668000895
2017-01-24,127115.71123362599
2017-01-25,125286.23169059768
2017-01-26,100813.263386259
2017-01-27,118889.85552576502
2017-01-28,102307.78558387156
2017-01-29,103072.42259439648
2017-01-30,126890.12131756035
2017-01-31,127768.12652443293
2017-02-01,116478.6498198506
2017-02-02,123527.55939821393
2017-02-03,121705.67143590716
2017-02-04,100550.933678479
2017-02-05,91117.44128793321
2017-02-06,113668.68088212528
2017-02-07,113014.85024416051
2017-02-08,114415.41864149345
2017-02-09,119862.80569047687
2017-02-10,120663.21543186242
2017-02-11,90686.23127039842
2017-02-12,87341.34513928238
2017-02-13,123532.36617376785
2017-02-14,129230.61782175244
2017-02-15,131996.01350840653
2017-02-16,151144.07959406028
2017-02-17,133946.3475203117
2017-02-18,105863.04814789072
2017-02-19,103799.50419895547
2017-02-20,136126.53864193626
2017-02-21,129277.93381117244
2017-02-22,128981.9343830097
2017-02-23,122871.83590802047
2017-02-24,108565.79753311008
2017-02-25,106331.46136756414
2017-02-26,104154.33340953127
2017-02-27,145657.26876061555
2017-02-28,158071.29053563366
2017-03-01,151134.20361870065
2017-03-02,149162.29490449704
2017-03-03,145848.12733835168
2017-03-04,108437.24863451548
2017-03-05,105154.58735219184
2017-03-06,137802.26564561675
2017-03-07,143687.2967993983
2017-03-08,141538.04139656635
2017-03-09,137390.7332406382
2017-03-10,136883.0949607624
2017-03-11,105555.97546275602
2017-03-12,84248.73728136261
2017-03-13,81624.02637101934
2017-03-14,135220.63813005947
2017-03-15,143640.6089497791
2017-03-16,147488.5397550308
2017-03-17,150570.60388210756
2017-03-18,122648.73244949026
2017-03-19,120908.8290781712
2017-03-20,154340.30488778985
2017-03-21,158666.52060697353
2017-03-22,158706.9532930114
2017-03-23,157992.55709807226
2017-03-24,153523.75721978355
2017-03-25,126757.7769415342
2017-03-26,126634.14338044375
2017-03-27,196637.2193121822
2017-03-28,176420.81783347722
2017-03-29,114510.66200961535
2017-03-30,167076.30203796492
2017-03-31,173625.02305214628
2017-04-01,147372.52019418398
2017-04-02,136990.28637921
2017-04-03,167051.879154759
2017-04-04,169145.42055843372
2017-04-05,168647.34607306044
2017-04-06,171814.78496170478
2017-04-07,159246.06267425706
2017-04-08,134691.3897275461
2017-04-09,130068.84242616784
2017-04-10,179055.11961021525
2017-04-11,184586.11888664844
2017-04-12,189604.85249685613
2017-04-13,188186.37153226923
2017-04-14,152981.18392590288
2017-04-15,144527.84620904055
2017-04-16,143700.13098581298
2017-04-17,176441.4952591857
2017-04-18,187156.05010183828
2017-04-19,177548.22200357233
2017-04-20,178911.4119763154
2017-04-21,168112.81771445382
2017-04-22,143297.6890261968
2017-04-23,136574.1369715376
2017-04-24,171401.29458243106
2017-04-25,173898.30543898
2017-04-26,180422.2051212135
2017-04-27,179630.46817463622
2017-04-28,170161.8992871289
2017-04-29,140026.25796766535
2017-04-30,142951.68363539132
2017-05-01,172432.53582216724
2017-05-02,174741.4264436145
2017-05-03,173919.9087744796
2017-05-04,164939.26377928982
2017-05-05,164648.89277616693
2017-05-06,144220.49163962394
2017-05-07,131194.62369812967
2017-05-08,167182.8681325257
2017-05-09,174857.57155120085
2017-05-10,156887.33611014954
2017-05-11,178207.6571393874
2017-05-12,192831.15151371638
2017-05-15,172368.72756498106
2017-05-16,191008.02617819075
2017-05-17,176452.3933511345
2017-05-18,186215.5133982466
2017-05-19,169063.05971731915
2017-05-20,143830.33841636995
2017-05-21,132860.52946384368
2017-05-22,181584.38209764656
2017-05-23,228297.93534443429
2017-05-24,264139.990829977
2017-05-26,146839.99182397025
2017-05-27,155120.86852647553
2017-05-28,141729.22423418539
2017-05-29,183276.62709932734
2017-05-30,185050.7281499401
2017-05-31,182652.64198288973
2017-06-01,181567.47562687067
2017-06-02,180145.71423665585
2017-06-03,149607.63755765403
2017-06-04,140162.10371084046
2017-06-05,183986.50478394565
2017-06-06,180310.21618932788
2017-06-07,170613.09056244258
2017-06-08,156778.42470232898
2017-06-09,150427.1812453696
2017-06-10,121426.78939348935
2017-06-16,148934.92143835506
2017-06-17,137694.73736739176
2017-06-18,127530.98872145615
2017-06-19,169288.4220510589
2017-06-20,165477.00199882008
2017-06-21,161536.91415364525
2017-06-22,162731.5736251133
2017-06-23,159894.88181539875
2017-06-24,135621.4368496513
2017-06-25,120007.00999676394
2017-06-26,136275.00172394337
2017-06-27,146649.78666393054
2017-06-28,146901.84589922152
2017-06-29,158989.67311328815
2017-06-30,147089.71836976786
2017-07-01,127732.25378435699
2017-07-02,111106.463741889
2017-07-03,145868.95730142272
2017-07-04,144384.2404963225
2017-07-05,158441.7072208735
2017-07-06,139512.59271466272
2017-07-07,142272.26284678394
2017-07-08,116783.1170751542
2017-07-09,106887.036876937
2017-07-10,143524.4641217641
2017-07-11,145183.83500693
2017-07-12,145645.80590807265
2017-07-13,141937.6025143769
2017-07-14,137202.73057015694
2017-07-15,121720.89692489573
2017-07-16,107336.59586530057
2017-07-17,114661.05586381082
2017-07-18,119961.75890578095
2017-07-19,144180.87190270855
2017-07-20,99253.87357945456
2017-07-23,111818.4260921339
2017-07-24,102063.80178304033
2017-07-25,120632.69170849223
2017-07-26,145743.14531591994
2017-07-27,157746.35467610438
2017-07-30,107639.41632009664
2017-07-31,140928.38117533538
2017-08-01,146337.8602565148
2017-08-02,147621.01756835732
2017-08-03,147319.57606650743
2017-08-04,149677.88912152842
2017-08-05,130132.0516593628
2017-08-06,119174.50566180609
2017-08-07,144650.59959067169
2017-08-08,151218.78555313946
2017-08-09,148263.40816632376
2017-08-10,147105.17607418462
2017-08-11,157308.33196349445
2017-08-12,134149.22312893177
2017-08-13,108460.45961802012
2017-08-14,130920.60432382615
2017-08-15,108181.11621906723
2017-08-16,141329.6232897209
2017-08-17,143219.94164465705
2017-08-18,142483.1175026859
2017-08-19,122771.91496782973
2017-08-20,115582.89457944449
2017-08-21,134089.13299582686
2017-08-22,135742.30048483337
2017-08-23,139250.47191227568
2017-08-24,143181.0379607556
2017-08-25,112929.82450072365
2017-08-26,116772.12998112456
2017-08-27,104729.93799904977
2017-08-28,127510.69539191255
2017-08-29,103257.49797203497
2017-08-30,129016.3002787191
2017-08-31,138491.83627244885
2017-09-01,141431.11292185786
2017-09-02,115644.84475258327
2017-09-03,115001.0563492245
2017-09-04,109327.18264105386
2017-09-05,146936.36986153302
2017-09-06,146071.797167704
2017-09-07,167555.55544428734
2017-09-08,157885.29638530046
2017-09-09,127222.9071130817
2017-09-10,118005.20475917694
2017-09-11,153694.3927818005
2017-09-12,159243.95335630694
2017-09-13,148482.4728018774
2017-09-14,148784.1490219274
2017-09-15,146592.73786666212
2017-09-16,122772.6551598432
2017-09-17,123088.92121176586
2017-09-18,151895.2379969179
2017-09-19,143546.26531299955
2017-09-20,149134.85133531806
2017-09-21,138390.95544304381
2017-09-22,140292.91618573392
2017-09-23,120692.6501641565
2017-09-24,113835.15822787775
2017-09-25,154478.15946415655
2017-09-26,165887.60758049798
2017-09-27,151231.8233124902
2017-09-28,155838.05821445267
2017-09-29,154283.43757758162
2017-09-30,117459.01862703645
2017-10-01,120637.87496989265
2017-10-02,130987.50571616329
2017-10-03,161039.1370792223
2017-10-04,163895.7386726887
2017-10-05,165473.18413906125
2017-10-06,171235.1449477039
2017-10-07,110963.7529570293
2017-10-08,114287.20500680414
2017-10-09,152685.5569941398
2017-10-10,147780.51906888798
2017-10-11,139537.45517459937
2017-10-12,145771.93237524742
2017-10-13,134746.0565354792
2017-10-14,118485.33531430925
2017-10-15,109115.61344003589
2017-10-16,143410.36480960596
2017-10-17,142329.88748265017
2017-10-18,131222.6188116982
2017-10-19,105173.47997404268
2017-10-20,128592.73372775385
2017-10-23,153574.00670653145
2017-10-24,144999.8219030668
2017-10-25,144290.3883756002
2017-10-26,143212.7104448792
2017-10-27,140229.8359365982
2017-10-28,118011.56568846096
2017-10-29,113818.54176059901
2017-10-30,142959.5191979037
2017-10-31,147656.1033518913
2017-11-01,137402.21143645231
2017-11-02,139559.88168066705
2017-11-03,140998.48487097688
2017-11-04,119089.77693869716
2017-11-05,115684.06929066633
2017-11-06,145177.49936311087
2017-11-07,142275.89007956686
2017-11-08,144416.83452067935
2017-11-09,138912.08813069732
2017-11-10,137710.90943064634
2017-11-11,117583.48885715446
2017-11-12,107192.84890795287
2017-11-13,127164.10629183927
2017-11-14,128019.12934783347
2017-11-15,127278.3542469391
2017-11-16,126089.28162255301
2017-11-17,125818.44272795547
2017-11-18,104193.98209277671
2017-11-19,107265.14506407152
2017-11-20,121539.62959968473
2017-11-21,130565.31554630675
2017-11-22,130624.65927491162
2017-11-23,138024.35671053748
2017-11-24,126231.85786397735
2017-11-25,104062.40198137028
2017-11-26,95788.13801631186
2017-11-27,114774.79076519776
2017-11-28,126420.45748071061
2017-11-29,115668.3035698902
2017-11-30,114773.40292126675
2017-12-01,109364.29916162696
2017-12-02,102315.502621619
2017-12-03,93334.09701119813
2017-12-04,116692.42905878465
2017-12-05,101717.70235838856
2017-12-06,108934.60146275934
2017-12-07,108871.63168772109
2017-12-08,107406.57236918477
2017-12-09,93975.34279685597
2017-12-10,91370.27459569533
2017-12-11,107939.16646257632
2017-12-12,105774.40604844227
2017-12-13,103802.83145899297
2017-12-14,102971.02414067676
2017-12-15,105974.79681292176
2017-12-16,90319.29318862662
2017-12-17,92553.93320763708
2017-12-18,101110.71366387924
2017-12-19,102244.16663213783
2017-12-20,105096.10683230916
2017-12-21,101716.11299153576
2017-12-22,104972.3975985938
2017-12-23,89809.13724734477
2017-12-24,85146.10462595613
2017-12-25,89259.97816279539
2017-12-26,102029.29570911759
2017-12-27,104289.86619071463
2017-12-28,104547.88559660676
2017-12-29,109745.60998383447
2017-12-30,90751.22037639463
2017-12-31,87303.28180237846
2017-12-31,77824.75667106088
2018-01-01,93761.02899537931
2018-01-02,102344.56587007179
2018-01-03,98783.87290145164
2018-01-04,105824.19991520008
2018-01-05,104847.7226938233
2018-01-06,85578.79791426296
2018-01-07,81704.72381263929
2018-01-08,105338.84648582796
2018-01-09,104700.12182052377
2018-01-10,103119.33912654404
2018-01-11,111080.465258067
2018-01-12,110006.83615515867
2018-01-13,90616.54845736394
2018-01-14,89349.1723773143
2018-01-15,119662.3666087878
2018-01-16,117039.03606731283
2018-01-17,118659.54690773686
2018-01-18,124285.28654899812
2018-01-19,120112.60840196256
2018-01-20,92003.20069943102
2018-01-21,91226.3141401023
2018-01-22,116093.38050996725
2018-01-23,114640.95132884149
2018-01-24,107286.36843234368
2018-01-25,104933.76535553794
2018-01-26,90016.93749330829
2018-01-27,90104.56313985052
2018-01-28,82266.4665520757
2018-01-29,107060.38861115859
2018-01-30,117120.78224616205
2018-01-31,117910.27148339448
2018-02-01,115238.32979096289
2018-02-02,122821.34938697591
2018-02-03,101838.34294672856
2018-02-04,94486.32926405316
2018-02-05,123545.00228727749
2018-02-06,127956.46048698568
2018-02-07,118759.39333002047
2018-02-08,123215.5834845204
2018-02-09,115853.68496431485
2018-02-10,89874.30891408815
2018-02-11,80600.4302493878
2018-02-12,107394.2215900201
2018-02-13,109653.86681403533
2018-02-14,115140.82520126006
2018-02-15,123561.12212299506
2018-02-16,130858.69984363574
2018-02-17,103919.50349667636
2018-02-18,96917.59978169543
2018-02-19,127369.04077440685
2018-02-20,128566.49027077215
2018-02-21,129707.27473084275
2018-02-22,129605.41093460671
2018-02-23,127671.10531702351
2018-02-24,103989.4677616208
2018-02-25,102279.67037149664
2018-02-26,132048.84622994612
2018-02-27,123780.01661577616
2018-02-28,125546.188732758
2018-03-01,122989.67540323289
2018-03-02,95885.34496199047
2018-03-03,104919.79124557633
2018-03-05,155109.624083126
2018-03-06,147111.99092625928
2018-03-07,145981.77957943882
2018-03-08,136711.54500976487
2018-03-09,134900.81663224462
2018-03-10,116929.32024576655
2018-03-11,113956.69376188108
2018-03-12,148522.41944653704
2018-03-13,106420.67326637043
2018-03-14,144537.57566931527
2018-03-15,129721.1969600254
2018-03-16,137277.5741739861
2018-03-17,112378.9441293096
2018-03-18,97877.31800287156
2018-03-19,137712.46933107582
2018-03-20,149253.0183398791
2018-03-21,141772.2021962509
2018-03-22,135078.1854759583
2018-03-23,126697.97376470012
2018-03-24,103260.13157222238
2018-03-25,114606.40293733931
2018-03-26,158244.9170126913
2018-03-27,169554.4080941637
2018-03-28,141188.48094241144
2018-03-29,115328.21298758275
2018-03-30,112166.20205910566
2018-03-31,110245.06924130557
2018-04-01,106708.6080226084
2018-04-02,148832.34161193654
2018-04-03,148241.0013214432
2018-04-04,144274.9557232297
2018-04-05,151478.3741681937
2018-04-06,141732.62236252427
2018-04-07,123983.19856946304
2018-04-08,118671.15964824668
2018-04-09,147547.47107361173
2018-04-10,147450.29312893774
2018-04-11,144023.608460899
2018-04-12,153572.09516987775
2018-04-13,147170.54422558984
2018-04-14,117608.561866774
2018-04-15,90336.94617025637
2018-04-17,161186.2212218499
2018-04-18,159412.70990393427
2018-04-19,175126.95148677204
2018-04-23,139041.5027176418
2018-04-24,141527.68269181493
2018-04-25,127326.75497144448
2018-04-26,147107.76897011462
2018-04-27,137087.10417788013
2018-04-28,117066.51283906805
2018-04-29,112015.56500325263
2018-05-02,151412.07450818818
2018-05-03,141119.35100396042
2018-05-04,139714.57372773706
2018-05-05,113616.18935368244
2018-05-06,111890.49828234213
2018-05-07,122311.83759254105
2018-05-08,162398.29180935785
2018-05-09,141343.50339173357
2018-05-10,146905.41254304053
2018-05-11,132786.80296317526
2018-05-12,111685.76859128539
2018-05-13,111592.26221992096
2018-05-14,136185.03022099813
2018-05-15,143658.39204581678
2018-05-16,150821.98118682773
2018-05-17,148054.8556708915
2018-05-18,141172.0597492856
2018-05-19,115089.69837298867
2018-05-20,108226.42392347817
2018-05-21,146944.926158798
2018-05-22,140472.8915399054
2018-05-23,141279.1101588007
2018-05-24,140853.87857366857
2018-05-25,141463.89998735962
2018-05-26,116519.53021845412
2018-05-27,114506.40139489318
2018-05-28,159564.82058775853
2018-05-29,151393.87616292373
2018-05-30,148704.54273794402
2018-05-31,151122.52670242928
2018-06-01,154640.32124877727
2018-06-02,120027.82134209735
2018-06-04,155411.27566541667
2018-06-05,133678.32901657195
2018-06-06,145957.90068065235
2018-06-07,132340.43119212965
2018-06-08,145053.18599826266
2018-06-09,105763.97694458386
2018-06-11,146171.80686308298
2018-06-12,138194.22307550686
2018-06-13,139621.15426027632
2018-06-14,153945.0213686951
2018-06-15,137630.56756626652
2018-06-16,101916.59104031118
2018-06-17,92992.21165206736
2018-06-19,133647.18706643835
2018-06-20,139184.9352667593
2018-06-21,138695.68088934475
2018-06-22,133348.39574675253
2018-06-23,102701.64084535911
2018-06-24,95134.3677283412
2018-06-25,120482.06828675873
2018-06-26,134268.76190001107
2018-06-27,136980.70588247993
2018-06-28,123828.68237826474
2018-06-29,119148.69221446285
2018-06-30,97324.16117835123
2018-07-01,98719.85477246609
2018-07-02,123496.55144377502
2018-07-03,112823.45569073372
2018-07-04,122761.37600781846
2018-07-05,121595.4124834182
2018-07-06,125517.40015520311
2018-07-07,98067.70901744733
2018-07-08,90465.39748788252
2018-07-09,117840.0906406867
2018-07-10,111369.73780278699
2018-07-11,118121.57691233706
2018-07-12,120185.20583240193
2018-07-13,121557.48647420414
2018-07-14,109859.79866455094
2018-07-15,95209.51834663024
2018-07-16,124485.88984233873
2018-07-17,131947.8957716191
2018-07-18,119339.37002723727
2018-07-19,126782.40656894833
2018-07-20,135727.04153090663
2018-07-23,102560.01332259351
2018-07-24,129293.3033686557
2018-07-25,125989.86098717753
2018-07-26,129020.95618708346
2018-07-27,123780.3266006789
2018-07-28,117635.5961297576
2018-07-29,106400.93842738296
2018-07-30,137139.8993110215
2018-07-31,130950.30165843744
2018-08-01,125669.64208742519
2018-08-02,128389.50942077165
2018-08-03,130770.76719551234
2018-08-04,116786.52721931534
2018-08-05,116458.40623996279
2018-08-06,132216.52737191765
2018-08-07,132659.03440288437
2018-08-08,128894.69238804695
2018-08-09,123724.82330887439
2018-08-10,131091.76132381574
2018-08-11,111956.93078655539
2018-08-12,100544.00246798145
2018-08-13,128127.48499472332
2018-08-14,127689.75885989814
2018-08-15,97168.00452646526
2018-08-16,121181.2535479856
2018-08-17,114153.2867088114
2018-08-18,108793.36270338736
2018-08-19,109327.72940660811
2018-08-20,120548.72910792106
2018-08-21,115044.81633874564
2018-08-22,100085.0383460734
2018-08-23,115270.82502383414
2018-08-24,116812.06379634107
2018-08-25,92622.0790672892
2018-08-26,88850.21437222492
2018-08-27,113035.0054961734
2018-08-28,117481.513612195
2018-08-29,119309.53936759575
2018-08-30,120235.40792509507
2018-08-31,120809.38815218938
2018-09-01,98203.25226486217
2018-09-02,95090.22083733637
2018-09-03,118577.15758887301
2018-09-04,123736.19249136955
2018-09-05,115326.83608807738
2018-09-06,117409.72916124293
2018-09-07,111836.57961213832
2018-09-08,95508.43676339336
2018-09-09,86976.26017252053
2018-09-10,109142.30920025789
2018-09-11,112578.85727538199
2018-09-12,117122.20070522386
2018-09-13,92861.68574031797
2018-09-14,111647.42233498806
2018-09-15,96628.78738588297
2018-09-16,91280.53815987131
2018-09-17,121118.52772493006
2018-09-18,120552.58488451502
2018-09-19,115001.93571112624
2018-09-20,118675.26073050164
2018-09-21,106124.77041407672
2018-09-22,101397.32220074844
2018-09-23,100738.8716718106
2018-09-24,126523.4959294931
2018-09-25,128582.35450084554
2018-09-26,123157.89795880033
2018-09-27,82772.59735948656
2018-09-28,128726.67923968892
2018-09-29,115207.76881102232
2018-09-30,101137.44632001113
2018-10-01,137820.7262572325
2018-10-02,123416.71999696865
2018-10-03,134916.62922818426
2018-10-04,137977.65594349705
